model,lead_hours,mae,rmse,bias,n
pred_persist_6h,51,100.37569832402235,125.97175905024224,3.28072625698324,1432
pred_persist_6h,52,100.60027952480783,126.37609007465633,3.39832285115304,1431
pred_persist_6h,53,100.93496503496503,126.76473721583065,3.5671328671328673,1430
pred_persist_6h,54,101.43037088873338,127.21328167408352,3.727081875437369,1429
pred_persist_6h,55,102.00490196078431,127.69125546680586,3.9418767507002803,1428
pred_persist_6h,56,102.59495444989489,128.2537204859974,4.136650315346881,1427
pred_persist_6h,57,103.09467040673212,128.76666275160326,4.400420757363253,1426
pred_persist_6h,58,103.69333333333333,129.45597639568985,4.552280701754386,1425
pred_persist_6h,59,104.42837078651685,130.28176573544766,4.637640449438202,1424
pred_persist_6h,60,105.17146872803936,131.03571688853356,4.717498243148278,1423
pred_persist_6h,61,105.80731364275668,131.766495296416,4.790436005625879,1422
pred_persist_6h,62,106.3173821252639,132.36867936398625,4.909922589725546,1421
pred_persist_6h,63,106.75,132.93370952004824,5.014788732394366,1420
pred_persist_6h,64,107.1923890063425,133.54486567703105,5.107822410147992,1419
pred_persist_6h,65,107.70451339915374,134.2424416690751,5.151622002820875,1418
pred_persist_6h,66,108.27311220889203,134.992926969107,5.182074805928017,1417
pred_persist_6h,67,108.99152542372882,135.74375057146844,5.238700564971752,1416
pred_persist_6h,68,109.7243816254417,136.56635348647794,5.317314487632509,1415
pred_persist_6h,69,110.32885431400283,137.32811810634718,5.417963224893918,1414
pred_persist_6h,70,110.92356687898089,137.95376262642637,5.56900212314225,1413
pred_persist_6h,71,111.40722379603399,138.55824549180647,5.742917847025495,1412
pred_persist_6h,72,111.81573352232459,139.10453217534712,5.92487597448618,1411
pred_persist_6h,73,112.40212765957448,139.7033153223528,6.073049645390071,1410
pred_persist_6h,74,113.04613200851668,140.29719039369027,6.180269694819021,1409
pred_persist_6h,75,113.75568181818181,140.9958191675458,6.308238636363637,1408
pred_persist_6h,76,114.54655294953803,141.8420670927954,6.411513859275053,1407
pred_persist_6h,77,115.32645803698435,142.71846322026622,6.542674253200569,1406
pred_persist_6h,78,116.13380782918149,143.69190548206817,6.706049822064057,1405
pred_persist_6h,79,116.98076923076923,144.6004047903292,6.888176638176638,1404
pred_persist_6h,80,117.79828937990021,145.4643975272597,7.112615823235923,1403
pred_persist_6h,81,118.51426533523538,146.23886865230995,7.414407988587731,1402
pred_persist_6h,82,119.30478229835832,147.1022067930919,7.740185581727338,1401
